name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bruck an der Mur, Austria",2006-01-01,1.1,-6.9,-2.8,1.1,-6.9,-2.8,-3.6,94.6,0.003,100,4.17,snow,0,22.3,,3.6,235,1007.5,96.6,2.4,,,,,2006-01-01T07:46:30,2006-01-01T16:18:32,0.05,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,rain,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-02,2.1,-2.4,0.8,2.1,-6.9,0.1,0.3,96.4,4.963,100,20.83,"rain,snow",0,18,,13.2,244.6,1009.2,96.4,3.3,,,,,2006-01-02T07:46:29,2006-01-02T16:19:31,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"11170099999,11180099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-03,4.1,-3.2,1.4,4.1,-8.9,0.6,0.2,92.3,1.223,100,25,"rain,snow",0,13,,17.6,269.2,1019,92.9,7.4,,,,,2006-01-03T07:46:25,2006-01-03T16:20:31,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"11170099999,11180099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-04,2.1,-3.9,-0.1,2.1,-3.9,-0.2,-0.7,96.1,0.003,100,8.33,"rain,snow",0.6,11.3,,5.4,180,1024.1,94.7,4,,,,,2006-01-04T07:46:19,2006-01-04T16:21:33,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-05,1.1,-1.5,0.3,1.1,-1.7,0.2,-0.1,97.3,4.908,100,25,"rain,snow",1.6,12.4,,3.6,80,1020.5,93.4,2.2,,,,,2006-01-05T07:46:09,2006-01-05T16:22:38,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-06,2.1,-0.4,1,2.1,-0.4,1,0.7,97.8,0.004,100,16.67,"rain,snow",0.7,13.5,,3.6,205,1021.4,92.4,1.5,,,,,2006-01-06T07:45:57,2006-01-06T16:23:44,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-07,2.1,0.3,1.2,2.1,-2.1,1,0.7,96.1,0.002,100,4.17,rain,0,11.9,,10.8,30.5,1027.4,91.1,2,,,,,2006-01-07T07:45:42,2006-01-07T16:24:52,0.26,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-08,1.1,-0.9,-0.1,1.1,-3.9,-1.3,-1.6,89.6,0,0,0,,0,11.1,,10.8,104.7,1032.1,84.1,5.4,,,,,2006-01-08T07:45:23,2006-01-08T16:26:02,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-09,-0.9,-8.4,-4.8,-1.9,-8.5,-5,-5.5,95,0,0,0,,0,11,,7.6,85.5,1032.7,46.1,3.1,,,,,2006-01-09T07:45:03,2006-01-09T16:27:14,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-10,0.1,-9.9,-6.2,0.1,-9.9,-6.2,-7.1,93.7,0,0,0,,0,11,,3.6,218.5,1031.1,37.4,4.1,,,,,2006-01-10T07:44:39,2006-01-10T16:28:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-11,1.1,-11.1,-6.8,1.1,-13.1,-7,-7.6,94.1,0,0,0,,0,11,,7.2,232.5,1029.8,2.1,6.4,,,,,2006-01-11T07:44:13,2006-01-11T16:29:43,0.4,Clear,Clear conditions throughout the day.,clear-day,"11170099999,11180099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-12,2.1,-11.6,-6.8,2.1,-11.6,-7,-7.9,92.6,0,0,0,,0,11,,7.2,235.1,1032.4,8.9,6.8,,,,,2006-01-12T07:43:44,2006-01-12T16:31:00,0.43,Clear,Clear conditions throughout the day.,clear-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-13,-2.9,-11.6,-7,-2.9,-13.7,-7.7,-7.8,94.3,0,0,0,,0,11,,7.6,225.8,1035.7,77.5,5.2,,,,,2006-01-13T07:43:12,2006-01-13T16:32:18,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-14,-3.9,-11.8,-6.5,-3.9,-16.2,-7.8,-7.4,93.5,0,0,0,,0,11,,7.6,236.7,1034.3,84.7,6.3,,,,,2006-01-14T07:42:38,2006-01-14T16:33:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-15,-0.9,-12.3,-5.5,-0.9,-12.3,-6.5,-8,83,0,0,0,,0,11,,7.6,225.1,1032.7,72.9,10.3,,,,,2006-01-15T07:42:00,2006-01-15T16:34:58,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-16,-3.9,-12.6,-7,-3.9,-14.6,-7.7,-9.1,85.7,0,0,0,,0,11,,7.6,252.6,1027,57.2,5.6,,,,,2006-01-16T07:41:21,2006-01-16T16:36:20,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-17,-5.9,-14.8,-9.9,-5.9,-14.8,-9.9,-11.3,89.9,0,0,0,,0,11,,3.6,260.2,1018.5,72.7,4.7,,,,,2006-01-17T07:40:39,2006-01-17T16:37:44,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-18,2.1,-9.3,-3.9,2.1,-9.3,-4.2,-6,86.1,0.005,100,20.83,"rain,snow",0,10.8,,3.6,217.3,1005.2,66.1,5.5,,,,,2006-01-18T07:39:54,2006-01-18T16:39:08,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"11170099999,11229099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-19,4.6,-5.9,-1.4,2.1,-9.4,-2.4,-3.8,85.1,0.803,100,12.5,"rain,snow",0,10.1,42.5,14.4,257.6,1019.1,47.1,6.5,,,,,2006-01-19T07:39:07,2006-01-19T16:40:34,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"11170099999,11180099999,11240099999,11175099999,11292099999,11384099999,11241099999"
"Bruck an der Mur, Austria",2006-01-20,2.1,-8.1,-3.5,2.1,-8.1,-3.6,-5,90.6,0,0,0,,0,10,,5.4,188.8,1023,45.9,4.7,,,,,2006-01-20T07:38:17,2006-01-20T16:42:00,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11170099999,11240099999,11175099999,11292099999,11384099999,11241099999"
